R_over_Ln,gamma,omega
4.000000000000000222e-01,-2.257287800312042236e-01,1.410644769668579102e+00
4.800000000000000377e-01,-2.464587688446044922e-01,1.403105020523071289e+00
5.600000000000000533e-01,-2.681774199008941650e-01,1.395320415496826172e+00
6.400000000000001243e-01,-2.909718751907348633e-01,1.387265443801879883e+00
7.200000000000000844e-01,-3.149426877498626709e-01,1.378904819488525391e+00
8.000000000000000444e-01,-3.402071893215179443e-01,1.370201110839843750e+00
8.800000000000001155e-01,-3.669035136699676514e-01,1.361104249954223633e+00
9.600000000000000755e-01,-3.951967060565948486e-01,1.351554393768310547e+00
1.040000000000000036e+00,-4.252847135066986084e-01,1.341474533081054688e+00
1.120000000000000107e+00,-4.574113488197326660e-01,1.330768465995788574e+00
1.200000000000000178e+00,-4.918788373470306396e-01,1.319305300712585449e+00
1.280000000000000249e+00,-5.290713906288146973e-01,1.306912422180175781e+00
1.360000000000000320e+00,-5.694892406463623047e-01,1.293340802192687988e+00
1.440000000000000391e+00,-6.138018965721130371e-01,1.278230547904968262e+00
1.520000000000000018e+00,-6.629396677017211914e-01,1.261014819145202637e+00
1.600000000000000089e+00,-7.182515263557434082e-01,1.240733146667480469e+00
